,feature,importance_gain,importance_split,trn_score
90,weekday_mode2,1511.8145995140076,216,0.8952150795307796
91,weekday_mode2v,1221.613890171051,149,0.8952150795307796
92,week_max2,1004.2076668739319,141,0.8952150795307796
93,week_min2,1045.1853041648865,131,0.8952150795307796
94,weekday_max2,1055.786699771881,138,0.8952150795307796
95,weekday_min2,710.4587516784668,96,0.8952150795307796
96,ic_ind_cny_median,9.655679702758789,1,0.8952150795307796
97,ic_ind_cny_sum,0.0,0,0.8952150795307796
98,ic_indpos_cny_median,6.2987799644470215,1,0.8952150795307796
99,ic_indpos_cny_sum,0.0,0,0.8952150795307796
100,ic_indneg_cny_median,6.93011999130249,1,0.8952150795307796
101,ic_indneg_cny_sum,15.924810409545898,2,0.8952150795307796
102,l6mon_agn_ind_cny_median,23.117919445037842,4,0.8952150795307796
103,l6mon_agn_ind_cny_sum,34.58852958679199,5,0.8952150795307796
104,l6mon_agn_indpos_cny_median,0.0,0,0.8952150795307796
105,l6mon_agn_indpos_cny_sum,18.088459968566895,3,0.8952150795307796
106,l6mon_agn_indneg_cny_median,11.577899932861328,2,0.8952150795307796
107,l6mon_agn_indneg_cny_sum,5.661210060119629,1,0.8952150795307796
108,hav_car_grp_ind_cny_median,939.2185716629028,71,0.8952150795307796
109,hav_car_grp_ind_cny_sum,958.8878164291382,62,0.8952150795307796
110,hav_car_grp_indpos_cny_median,721.8678069114685,60,0.8952150795307796
111,hav_car_grp_indpos_cny_sum,881.1699371337891,72,0.8952150795307796
112,hav_car_grp_indneg_cny_median,986.2048020362854,76,0.8952150795307796
113,hav_car_grp_indneg_cny_sum,828.9148812294006,63,0.8952150795307796
114,pl_crd_lmt_cd_cny_median,43.28750991821289,6,0.8952150795307796
115,pl_crd_lmt_cd_cny_sum,75.99077987670898,11,0.8952150795307796
116,pl_crd_lmt_cdpos_cny_median,25.97767972946167,4,0.8952150795307796
117,pl_crd_lmt_cdpos_cny_sum,21.97037982940674,4,0.8952150795307796
118,pl_crd_lmt_cdneg_cny_median,107.32031965255737,14,0.8952150795307796
119,pl_crd_lmt_cdneg_cny_sum,27.954899787902832,5,0.8952150795307796
120,loan_act_ind_cny_median,0.0,0,0.8952150795307796
121,loan_act_ind_cny_sum,0.0,0,0.8952150795307796
122,loan_act_indpos_cny_median,13.332059860229492,2,0.8952150795307796
123,loan_act_indpos_cny_sum,13.918749809265137,2,0.8952150795307796
124,loan_act_indneg_cny_median,6.5107197761535645,1,0.8952150795307796
125,loan_act_indneg_cny_sum,0.0,0,0.8952150795307796
126,bk1_cur_year_mon_avg_agn_amt_cd_cny_median,71.21439981460571,11,0.8952150795307796
127,bk1_cur_year_mon_avg_agn_amt_cd_cny_sum,118.80354022979736,17,0.8952150795307796
128,bk1_cur_year_mon_avg_agn_amt_cdpos_cny_median,25.79878044128418,5,0.8952150795307796
129,bk1_cur_year_mon_avg_agn_amt_cdpos_cny_sum,110.19258165359497,16,0.8952150795307796
130,bk1_cur_year_mon_avg_agn_amt_cdneg_cny_median,126.18078994750977,19,0.8952150795307796
131,bk1_cur_year_mon_avg_agn_amt_cdneg_cny_sum,108.3896598815918,15,0.8952150795307796
132,crd_card_act_ind_cny_median,769.2195467948914,64,0.8952150795307796
133,crd_card_act_ind_cny_sum,700.4907722473145,50,0.8952150795307796
134,crd_card_act_indpos_cny_median,720.2733111381531,56,0.8952150795307796
135,crd_card_act_indpos_cny_sum,696.229001045227,61,0.8952150795307796
136,crd_card_act_indneg_cny_median,626.3595004081726,58,0.8952150795307796
137,crd_card_act_indneg_cny_sum,901.704580783844,64,0.8952150795307796
138,edu_deg_cd_cny_median,1353.8368649482727,150,0.8952150795307796
139,edu_deg_cd_cny_sum,955.591784954071,122,0.8952150795307796
140,edu_deg_cdpos_cny_median,1488.5188994407654,206,0.8952150795307796
141,edu_deg_cdpos_cny_sum,1651.0053224563599,178,0.8952150795307796
142,edu_deg_cdneg_cny_median,1204.0213513374329,170,0.8952150795307796
143,edu_deg_cdneg_cny_sum,1169.101821422577,148,0.8952150795307796
144,dnl_bind_cmb_lif_ind_cny_median,1087.8632464408875,49,0.8952150795307796
145,dnl_bind_cmb_lif_ind_cny_sum,1280.1513576507568,59,0.8952150795307796
146,dnl_bind_cmb_lif_indpos_cny_median,781.731595993042,48,0.8952150795307796
147,dnl_bind_cmb_lif_indpos_cny_sum,846.7279529571533,37,0.8952150795307796
148,dnl_bind_cmb_lif_indneg_cny_median,713.4236464500427,36,0.8952150795307796
149,dnl_bind_cmb_lif_indneg_cny_sum,966.6665921211243,49,0.8952150795307796
150,perm_crd_lmt_cd_cny_median,3167.0645809173584,230,0.8952150795307796
151,perm_crd_lmt_cd_cny_sum,1635.3717885017395,220,0.8952150795307796
152,perm_crd_lmt_cdpos_cny_median,3316.41316986084,254,0.8952150795307796
153,perm_crd_lmt_cdpos_cny_sum,2040.751829624176,257,0.8952150795307796
154,perm_crd_lmt_cdneg_cny_median,2594.1645708084106,158,0.8952150795307796
155,perm_crd_lmt_cdneg_cny_sum,2437.7909421920776,288,0.8952150795307796
156,hav_hou_grp_ind_cny_median,6.453589916229248,1,0.8952150795307796
157,hav_hou_grp_ind_cny_sum,12.434849739074707,2,0.8952150795307796
158,hav_hou_grp_indpos_cny_median,26.310139656066895,4,0.8952150795307796
159,hav_hou_grp_indpos_cny_sum,0.0,0,0.8952150795307796
160,hav_hou_grp_indneg_cny_median,0.0,0,0.8952150795307796
161,hav_hou_grp_indneg_cny_sum,9.174860000610352,2,0.8952150795307796
162,fr_or_sh_ind_cny_median,402.87537717819214,42,0.8952150795307796
163,fr_or_sh_ind_cny_sum,415.73254919052124,36,0.8952150795307796
164,fr_or_sh_indpos_cny_median,301.16308975219727,33,0.8952150795307796
165,fr_or_sh_indpos_cny_sum,607.3840103149414,54,0.8952150795307796
166,fr_or_sh_indneg_cny_median,852.4576644897461,67,0.8952150795307796
167,fr_or_sh_indneg_cny_sum,776.5606760978699,76,0.8952150795307796
168,acdm_deg_cd_cny_median,2031.9988193511963,194,0.8952150795307796
169,acdm_deg_cd_cny_sum,3794.852274417877,326,0.8952150795307796
170,acdm_deg_cdpos_cny_median,1768.0142092704773,151,0.8952150795307796
171,acdm_deg_cdpos_cny_sum,647.7880997657776,92,0.8952150795307796
172,acdm_deg_cdneg_cny_median,741.6775078773499,102,0.8952150795307796
173,acdm_deg_cdneg_cny_sum,719.8058710098267,100,0.8952150795307796
174,atdd_type_cny_median,232.47308778762817,33,0.8952150795307796
175,atdd_type_cny_sum,322.6027584075928,40,0.8952150795307796
176,atdd_typepos_cny_median,267.62720012664795,35,0.8952150795307796
177,atdd_typepos_cny_sum,259.0304799079895,34,0.8952150795307796
178,atdd_typeneg_cny_median,465.07746839523315,60,0.8952150795307796
179,atdd_typeneg_cny_sum,358.1780400276184,45,0.8952150795307796
180,l1y_crd_card_csm_amt_dlm_cd_cny_median,5559.295664310455,266,0.8952150795307796
181,l1y_crd_card_csm_amt_dlm_cd_cny_sum,2002.9281468391418,199,0.8952150795307796
